category,token,display,text
N,LLLR,慣れる,慣れる
N,LLLF,咲く,咲く
suffix-3,LLR_,,
N,LLRH,覚める,覚める
N,LLRL,詰まる,詰まる
N,LLRR,入る,入る
N,LLRF,離れる,離れる
suffix-3,LLF_,,
N,LLFH,決める,決める
N,LLFL,満ちる,満ちる
N,LLFR,抱く,抱く
N,LLFF,ありふれる,ありふれる
suffix-2,LR__,から,から
XX_X,LR_H,,
XX_X,LR_L,,
XX_X,LR_R,,
XX_X,LR_F,,
suffix-3,LRH_,,
N,LRHH,挙げる,挙げる
N,LRHL,埋める,埋める
N,LRHR,つなぐ,つなぐ
N,LRHF,流す,流す
suffix-3,LRL_,,
N,LRLH,似る,似る
N,LRLL,描く,描く
N,LRLR,解く,解く
N,LRLF,結ぶ,結ぶ
suffix-3,LRR_,,
N,LRRH,彩る,彩る
N,LRRL,増える,増える
N,LRRR,逃げる,逃げる
N,LRRF,壊す,壊す
suffix-3,LRF_,,
N,LRFH,まばたく,まばたく
N,LRFL,まわる,まわる
N,LRFR,光る,光る
N,LRFF,震える,震える
suffix-2,LF__,へ,へ
XX_X,LF_H,,
XX_X,LF_L,,
XX_X,LF_R,,
XX_X,LF_F,,
suffix-3,LFH_,,
N,LFHH,戻る,戻る
N,LFHL,なくす,なくす
N,LFHR,残す,残す
N,LFHF,乗る,乗る
suffix-3,LFL_,,
N,LFLH,揺れる,揺れる
N,LFLL,わたる,わたる
N,LFLR,めざす,めざす
N,LFLF,散る,散る
suffix-3,LFR_,,
N,LFRH,焼ける,焼ける
N,LFRL,送る,送る
N,LFRR,動く,動く
N,LFRF,告げる,告げる
suffix-3,LFF_,,
N,LFFH,澄む,澄む
N,LFFL,凝る,凝る
N,LFFR,たゆたう,たゆたう
N,LFFF,あきらめる,あきらめる
suffix-1,R___,を,を〔格助詞〕
x,R__H,,
x,R__L,,
x,R__R,,
x,R__F,,
x,R_H_,,
X_XX,R_HH,もっと,もっと、その上：付け加えるさま。
X_XX,R_HL,たった,たった
X_XX,R_HR,わりと,わりと、なかなか
X_XX,R_HF,やはり,やはり、やっぱ
x,R_L_,,
X_XX,R_LH,きっと,きっと：確実か確実であってほしいと希望するさま
X_XX,R_LL,,
X_XX,R_LR,,
X_XX,R_LF,,
x,R_R_,,
X_XX,R_RH,【順接】,【順接】
X_XX,R_RL,【逆接】,【逆接】
X_XX,R_RR,,
X_XX,R_RF,,
x,R_F_,,
X_XX,R_FH,,
X_XX,R_FL,,
X_XX,R_FR,キラキラ,キラキラ
X_XX,R_FF,プカプカ,プカプカ
suffix-2,RH__,～した,～した
XX_X,RH_H,,
XX_X,RH_L,,
XX_X,RH_R,,
XX_X,RH_F,,
suffix-3,RHH_,,
N,RHHH,こと,こと
N,RHHL,もの,もの
N,RHHR,夢,夢
N,RHHF,今,今
suffix-3,RHL_,,
N,RHLH,日,日
N,RHLL,何,何
N,RHLR,時,時
N,RHLF,世の中,世の中
suffix-3,RHR_,,
N,RHRH,声,声
N,RHRL,夜,夜
N,RHRR,まま,まま、儘
N,RHRF,たび,たび、度
suffix-3,RHF_,,
N,RHFH,ひとり,ひとり
N,RHFL,ふたり,ふたり
N,RHFR,中,中
N,RHFF,目,目
suffix-2,RL__,～しない,～しない
XX_X,RL_H,,
XX_X,RL_L,,
XX_X,RL_R,,
XX_X,RL_F,,
suffix-3,RLH_,,
N,RLHH,こころ,こころ、気持ち
N,RLHL,人,人
N,RLHR,ゆくえ,ゆくえ
N,RLHF,いにしえ,いにしえ
suffix-3,RLL_,,
N,RLLH,春,春
N,RLLL,夏,夏
N,RLLR,秋,秋
N,RLLF,冬,冬
suffix-3,RLR_,,
N,RLRH,手,手
N,RLRL,まこと,まこと、真実、本当
N,RLRR,歌,歌
N,RLRF,言葉,言葉
suffix-3,RLF_,,
N,RLFH,前,前
N,RLFL,星,星
N,RLFR,わたし,わたし
N,RLFF,あなた,あなた
suffix-2,RR__,～される,～される
XX_X,RR_H,,
XX_X,RR_L,,
XX_X,RR_R,,
XX_X,RR_F,,
suffix-3,RRH_,,
N,RRHH,恋,恋、愛
N,RRHL,今日,今日
N,RRHR,明日,明日
N,RRHF,胸,胸
suffix-3,RRL_,,
N,RRLH,海,海
N,RRLL,山,山
N,RRLR,川,川
N,RRLF,丘,丘
suffix-3,RRR_,,
N,RRRH,光,光
N,RRRL,風,風
N,RRRR,街,街、町
N,RRRF,田舎,鄙、田舎
suffix-3,RRF_,,
N,RRFH,思い出,思い出
N,RRFL,幸せ,幸せ
N,RRFR,おまじない,おまじない、魔法
N,RRFF,鏡,鏡
suffix-2,RF__,～させる,～させる
XX_X,RF_H,,
XX_X,RF_L,,
XX_X,RF_R,,
XX_X,RF_F,,
suffix-3,RFH_,,
N,RFHH,星屑の川,星屑の川
N,RFHL,想い,想い
N,RFHR,終わり,終わり
N,RFHF,体,体
suffix-3,RFL_,,
N,RFLH,国,国
N,RFLL,神,神
N,RFLR,はず,はず、筈
N,RFLF,涙,涙
suffix-3,RFR_,,
N,RFRH,空,空
N,RFRL,隣,隣
N,RFRR,部屋,部屋
N,RFRF,とわ,とわ、永遠
suffix-3,RFF_,,
N,RFFH,白,白
N,RFFL,黒,黒
N,RFFR,赤,赤
N,RFFF,青,青
suffix-1,F___,は,は〔格助詞〕
x,F__H,,
x,F__L,,
x,F__R,,
x,F__F,,
x,F_H_,,
X_XX,F_HH,ジリジリ,ジリジリ
X_XX,F_HL,チカチカ,チカチカ
X_XX,F_HR,ザクザク,ザクザク
X_XX,F_HF,モソモソ,モソモソ
x,F_L_,,
X_XX,F_LH,ワクワク,ワクワク
X_XX,F_LL,ポタポタ,ポタポタ
X_XX,F_LR,パラパラ,パラパラ
X_XX,F_LF,フワフワ,フワフワ
x,F_R_,,
X_XX,F_RH,ピカピカ,ピカピカ
X_XX,F_RL,チクタク,チクタク
X_XX,F_RR,ドクドク,ドクドク
X_XX,F_RF,ウトウト,ウトウト
x,F_F_,,
X_XX,F_FH,クルクル,クルクル
X_XX,F_FL,ドンドン,ドンドン
X_XX,F_FR,プルプル,プルプル
X_XX,F_FF,サラサラ,サラサラ
suffix-2,FH__,～するらしい,～するらしい
XX_X,FH_H,,
XX_X,FH_L,,
XX_X,FH_R,,
XX_X,FH_F,,
suffix-3,FHH_,,
N,FHHH,朝,朝
N,FHHL,昼,昼
N,FHHR,とも,とも、伴、共、友、一緒
N,FHHF,音,音
suffix-3,FHL_,,
N,FHLH,わけ,わけ、むね、意味
N,FHLL,望み,望み
N,FHLR,ころ,ころ
N,FHLF,ところ,ところ
suffix-3,FHR_,,
N,FHRH,旅,旅
N,FHRL,ふるさと,ふるさと
N,FHRR,すべて,すべて
